95 3
0 1 50
0 21 38
0 28 21
0 49 28
0 50 49
1 2 39
1 39 50
2 3 39
3 4 46
3 46 39
4 5 46
5 6 45
5 45 46
6 7 44
6 44 45
7 8 44
8 9 43
8 43 44
9 10 43
10 11 43
11 12 54
11 54 43
12 13 20
12 20 55
12 33 13
12 55 54
13 14 20
13 33 14
14 15 19
14 19 20
14 31 15
14 32 31
14 33 32
15 16 19
15 30 16
15 31 30
16 17 18
16 18 19
16 29 17
16 30 29
17 29 57
17 57 18
18 56 19
18 57 56
19 55 20
19 56 55
21 22 38
21 28 22
22 23 36
22 27 23
22 28 27
22 36 37
22 37 38
23 24 35
23 26 24
23 27 26
23 35 36
24 25 34
24 26 25
24 34 35
25 26 48
25 47 34
25 48 47
26 27 49
26 49 48
27 28 49
29 30 35
29 34 57
29 35 34
30 31 36
30 36 35
34 47 57
39 40 50
39 46 40
40 41 52
40 46 41
40 51 50
40 52 51
41 42 52
41 44 42
41 45 44
41 46 45
42 43 53
42 44 43
42 53 52
43 54 53
47 48 57
48 49 51
48 51 52
48 52 56
48 56 57
49 50 51
52 53 56
53 54 55
53 55 56
